[294, '28.5449035', '77.2712101', '207.95']
[295, '28.5449035', '77.2712101', '207.95']
[296, '28.5449035', '77.2712101', '207.96']
[297, '28.5449045', '77.2712159', '207.96']
[298, '28.5449045', '77.2712159', '207.96']
[299, '28.5449045', '77.2712159', '207.96']
[300, '28.5449045', '77.2712159', '207.97']
[301, '28.5449045', '77.2712159', '207.97']
[302, '28.5449051', '77.2712223', '207.97']
[303, '28.5449051', '77.2712223', '207.97']
[304, '28.5449051', '77.2712223', '207.96']
[305, '28.5449051', '77.2712223', '207.97']
[306, '28.5449051', '77.2712223', '207.97']
[307, '28.5449059', '77.271229', '207.97']
[308, '28.5449059', '77.271229', '207.97']
[309, '28.5449059', '77.271229', '207.97']
[310, '28.5449059', '77.271229', '207.97']
[311, '28.5449059', '77.271229', '207.97']
[312, '28.5449063', '77.2712352', '207.97']
[313, '28.5449063', '77.2712352', '207.97']
[314, '28.5449063', '77.2712352', '207.97']
[315, '28.5449063', '77.2712352', '207.97']
[316, '28.5449063', '77.2712352', '207.98']
[317, '28.5449067', '77.2712411', '207.97']
[318, '28.5449067', '77.2712411', '207.97']
[319, '28.5449067', '77.2712411', '207.97']
[320, '28.5449067', '77.2712411', '207.97']
[321, '28.5449067', '77.2712411', '207.97']
[322, '28.5449071', '77.2712469', '207.97']
[323, '28.5449071', '77.2712469', '207.97']
[324, '28.5449071', '77.2712469', '207.97']
[325, '28.5449071', '77.2712469', '207.97']
[326, '28.5449071', '77.2712469', '207.97']
[327, '28.5449076', '77.271253', '207.97']
[328, '28.5449076', '77.271253', '207.96']
[329, '28.5449076', '77.271253', '207.96']
[330, '28.5449076', '77.271253', '207.96']
[331, '28.5449076', '77.271253', '207.97']
[332, '28.5449082', '77.2712582', '207.97']
[333, '28.5449082', '77.2712582', '207.97']
[334, '28.5449082', '77.2712582', '207.97']
[335, '28.5449082', '77.2712582', '207.97']
[336, '28.5449082', '77.2712582', '207.97']
[337, '28.5449086', '77.2712637', '207.98']
[338, '28.5449086', '77.2712637', '207.97']
[339, '28.5449086', '77.2712637', '207.98']
[340, '28.5449086', '77.2712637', '207.98']
[341, '28.5449086', '77.2712637', '207.98']
[342, '28.5449089', '77.2712697', '207.98']
[343, '28.5449089', '77.2712697', '207.97']
[344, '28.5449089', '77.2712697', '207.98']
[345, '28.5449089', '77.2712697', '207.98']
[346, '28.5449089', '77.2712697', '207.98']
[347, '28.5449092', '77.2712755', '207.98']
[348, '28.5449092', '77.2712755', '207.98']
[349, '28.5449092', '77.2712755', '207.99']
[350, '28.5449092', '77.2712755', '207.99']
[351, '28.5449092', '77.2712755', '207.99']
[352, '28.5449096', '77.2712813', '208.0']
[353, '28.5449096', '77.2712813', '208.0']
[354, '28.5449096', '77.2712813', '208.0']
[355, '28.5449096', '77.2712813', '208.01']
[356, '28.5449096', '77.2712813', '208.01']
[357, '28.5449102', '77.2712872', '208.01']
[358, '28.5449102', '77.2712872', '208.01']
[359, '28.5449102', '77.2712872', '208.0']
[360, '28.5449102', '77.2712872', '208.01']
[361, '28.5449102', '77.2712872', '208.01']
[362, '28.5449109', '77.2712929', '208.02']
[363, '28.5449109', '77.2712929', '208.02']
[364, '28.5449109', '77.2712929', '208.03']
[365, '28.5449109', '77.2712929', '208.03']
[366, '28.5449109', '77.2712929', '208.03']
[367, '28.5449115', '77.2712985', '208.04']
[368, '28.5449115', '77.2712985', '208.04']
[369, '28.5449115', '77.2712985', '208.04']
[370, '28.5449115', '77.2712985', '208.04']
[371, '28.5449115', '77.2712985', '208.04']
[372, '28.5449117', '77.2713043', '208.05']
[373, '28.5449117', '77.2713043', '208.05']
[374, '28.5449117', '77.2713043', '208.06']
[375, '28.5449117', '77.2713043', '208.06']
[376, '28.5449117', '77.2713043', '208.06']
[377, '28.5449118', '77.2713101', '208.06']
[378, '28.5449118', '77.2713101', '208.06']
[379, '28.5449118', '77.2713101', '208.06']
[380, '28.5449118', '77.2713101', '208.06']
[381, '28.5449118', '77.2713101', '208.07']
[382, '28.5449122', '77.2713155', '208.07']
[383, '28.5449122', '77.2713155', '208.07']
[384, '28.5449122', '77.2713155', '208.08']
[385, '28.5449122', '77.2713155', '208.08']
[386, '28.5449122', '77.2713155', '208.08']
[387, '28.5449123', '77.2713216', '208.08']
[388, '28.5449123', '77.2713216', '208.09']
[389, '28.5449123', '77.2713216', '208.1']
[390, '28.5449123', '77.2713216', '208.1']
[391, '28.5449123', '77.2713216', '208.1']
[392, '28.5449128', '77.2713277', '208.11']
[393, '28.5449128', '77.2713277', '208.11']
[394, '28.5449128', '77.2713277', '208.12']
[395, '28.5449128', '77.2713277', '208.12']
[396, '28.5449128', '77.2713277', '208.12']
[397, '28.5449133', '77.2713335', '208.13']
[398, '28.5449133', '77.2713335', '208.13']
[399, '28.5449133', '77.2713335', '208.13']
[400, '28.5449133', '77.2713335', '208.13']
[401, '28.5449133', '77.2713335', '208.13']
[402, '28.5449138', '77.2713393', '208.14']
[403, '28.5449138', '77.2713393', '208.14']
[404, '28.5449138', '77.2713393', '208.14']
[405, '28.5449138', '77.2713393', '208.15']
[406, '28.5449138', '77.2713393', '208.16']
[407, '28.5449143', '77.2713453', '208.17']
[408, '28.5449143', '77.2713453', '208.17']
[409, '28.5449143', '77.2713453', '208.18']
[410, '28.5449143', '77.2713453', '208.18']
[411, '28.5449143', '77.2713453', '208.19']
[412, '28.5449149', '77.2713509', '208.2']
[413, '28.5449149', '77.2713509', '208.2']
[414, '28.5449149', '77.2713509', '208.2']
[415, '28.5449149', '77.2713509', '208.2']
[416, '28.5449149', '77.2713509', '208.2']
[417, '28.544915', '77.2713572', '208.21']
[418, '28.544915', '77.2713572', '208.21']
[419, '28.544915', '77.2713572', '208.21']
[420, '28.544915', '77.2713572', '208.22']
[421, '28.544915', '77.2713572', '208.22']
[422, '28.5449155', '77.2713626', '208.23']
[423, '28.5449155', '77.2713626', '208.22']
[424, '28.5449155', '77.2713626', '208.23']
[425, '28.5449155', '77.2713626', '208.24']
[426, '28.5449155', '77.2713626', '208.25']
[427, '28.5449158', '77.2713683', '208.25']
[428, '28.5449158', '77.2713683', '208.25']
[429, '28.5449158', '77.2713683', '208.26']
[430, '28.5449158', '77.2713683', '208.26']
[431, '28.5449162', '77.2713734', '208.27']
[432, '28.5449162', '77.2713734', '208.28']
[433, '28.5449162', '77.2713734', '208.28']
[434, '28.5449162', '77.2713734', '208.29']
[435, '28.5449162', '77.2713734', '208.29']
[436, '28.5449167', '77.2713782', '208.3']
[437, '28.5449167', '77.2713782', '208.3']
[438, '28.5449167', '77.2713782', '208.3']
[439, '28.5449167', '77.2713782', '208.31']
[440, '28.5449167', '77.2713782', '208.31']
[441, '28.5449171', '77.271383', '208.32']
[442, '28.5449171', '77.271383', '208.33']
[443, '28.5449171', '77.271383', '208.33']
[444, '28.5449171', '77.271383', '208.33']
[445, '28.5449171', '77.271383', '208.33']
[446, '28.5449178', '77.2713877', '208.34']
[447, '28.5449178', '77.2713877', '208.34']
[448, '28.5449178', '77.2713877', '208.35']
[449, '28.5449178', '77.2713877', '208.35']
[450, '28.5449178', '77.2713877', '208.36']
[451, '28.5449172', '77.2713915', '208.36']
[452, '28.5449172', '77.2713915', '208.37']
[453, '28.5449172', '77.2713915', '208.37']
[454, '28.5449172', '77.2713915', '208.37']
[455, '28.5449172', '77.2713915', '208.38']
[456, '28.5449171', '77.2713954', '208.39']
[457, '28.5449171', '77.2713954', '208.39']
[458, '28.5449171', '77.2713954', '208.39']
[459, '28.5449171', '77.2713954', '208.4']
[460, '28.5449171', '77.2713954', '208.4']
[461, '28.5449168', '77.2713988', '208.41']
[462, '28.5449168', '77.2713988', '208.41']
[463, '28.5449168', '77.2713988', '208.41']
[464, '28.5449168', '77.2713988', '208.41']
[465, '28.5449168', '77.2713988', '208.41']
[466, '28.5449172', '77.271402', '208.41']
[467, '28.5449172', '77.271402', '208.41']
[468, '28.5449172', '77.271402', '208.41']
[469, '28.5449172', '77.271402', '208.41']
[470, '28.5449172', '77.271402', '208.41']
[471, '28.5449181', '77.2714056', '208.41']
[472, '28.5449181', '77.2714056', '208.41']
[473, '28.5449181', '77.2714056', '208.41']
[474, '28.5449181', '77.2714056', '208.41']
[475, '28.5449181', '77.2714056', '208.42']
[476, '28.5449181', '77.2714056', '208.42']
[477, '28.5449189', '77.2714102', '208.42']
[478, '28.5449189', '77.2714102', '208.42']
[479, '28.5449189', '77.2714102', '208.42']
[480, '28.5449189', '77.2714102', '208.42']
[481, '28.5449201', '77.2714147', '208.43']
[482, '28.5449201', '77.2714147', '208.43']
[483, '28.5449201', '77.2714147', '208.43']
[484, '28.5449201', '77.2714147', '208.43']
[485, '28.5449201', '77.2714147', '208.44']
[486, '28.5449205', '77.271419', '208.45']
[487, '28.5449205', '77.271419', '208.45']
[488, '28.5449205', '77.271419', '208.45']
[489, '28.5449205', '77.271419', '208.45']
[490, '28.5449205', '77.271419', '208.46']
[491, '28.5449202', '77.2714225', '208.46']
[492, '28.5449202', '77.2714225', '208.47']
[493, '28.5449202', '77.2714225', '208.47']
[494, '28.5449202', '77.2714225', '208.47']
[495, '28.5449202', '77.2714225', '208.48']
[496, '28.5449209', '77.2714264', '208.49']
[497, '28.5449209', '77.2714264', '208.49']
[498, '28.5449209', '77.2714264', '208.49']
[499, '28.5449209', '77.2714264', '208.49']
[500, '28.5449209', '77.2714264', '208.49']
[501, '28.5449215', '77.2714308', '208.5']
[502, '28.5449215', '77.2714308', '208.5']
[503, '28.5449215', '77.2714308', '208.5']
[504, '28.5449215', '77.2714308', '208.51']
[505, '28.5449215', '77.2714308', '208.51']
[506, '28.544922', '77.271435', '208.52']
[507, '28.544922', '77.271435', '208.52']
[508, '28.544922', '77.271435', '208.52']
[509, '28.544922', '77.271435', '208.52']
[510, '28.544922', '77.271435', '208.53']
[511, '28.544922', '77.2714389', '208.53']
[512, '28.544922', '77.2714389', '208.54']
[513, '28.544922', '77.2714389', '208.53']
[514, '28.544922', '77.2714389', '208.54']
[515, '28.544922', '77.2714389', '208.54']
[516, '28.5449215', '77.2714428', '208.55']
[517, '28.5449215', '77.2714428', '208.56']
[518, '28.5449215', '77.2714428', '208.55']
[519, '28.5449215', '77.2714428', '208.56']
[520, '28.5449215', '77.2714428', '208.57']
[521, '28.5449217', '77.2714475', '208.57']
[522, '28.5449217', '77.2714475', '208.58']
[523, '28.5449217', '77.2714475', '208.58']
[524, '28.5449217', '77.2714475', '208.58']
[525, '28.5449217', '77.2714475', '208.59']
[526, '28.5449217', '77.2714475', '208.6']
[527, '28.5449225', '77.2714515', '208.61']
[528, '28.5449225', '77.2714515', '208.61']
[529, '28.5449225', '77.2714515', '208.62']
[530, '28.5449225', '77.2714515', '208.63']
[531, '28.5449237', '77.2714555', '208.63']
[532, '28.5449237', '77.2714555', '208.64']
[533, '28.5449237', '77.2714555', '208.64']
[534, '28.5449237', '77.2714555', '208.65']
[535, '28.5449237', '77.2714555', '208.66']
[536, '28.5449246', '77.2714599', '208.67']
[537, '28.5449246', '77.2714599', '208.67']
[538, '28.5449246', '77.2714599', '208.67']
[539, '28.5449246', '77.2714599', '208.68']
[540, '28.5449246', '77.2714599', '208.68']
[541, '28.5449245', '77.2714641', '208.69']
[542, '28.5449245', '77.2714641', '208.69']
[543, '28.5449245', '77.2714641', '208.69']
[544, '28.5449245', '77.2714641', '208.69']
[545, '28.5449245', '77.2714641', '208.7']
[546, '28.5449251', '77.271469', '208.7']
[547, '28.5449251', '77.271469', '208.71']
[548, '28.5449251', '77.271469', '208.71']
[549, '28.5449251', '77.271469', '208.72']
[550, '28.5449251', '77.271469', '208.72']
[551, '28.5449251', '77.2714739', '208.73']
[552, '28.5449251', '77.2714739', '208.73']
[553, '28.5449251', '77.2714739', '208.73']
[554, '28.5449251', '77.2714739', '208.74']
[555, '28.5449251', '77.2714739', '208.74']
[556, '28.5449248', '77.2714778', '208.75']
[557, '28.5449248', '77.2714778', '208.75']
[558, '28.5449248', '77.2714778', '208.75']
[559, '28.5449248', '77.2714778', '208.76']
[560, '28.5449248', '77.2714778', '208.77']
[561, '28.5449251', '77.271482', '208.77']
[562, '28.5449251', '77.271482', '208.78']
[563, '28.5449251', '77.271482', '208.78']
[564, '28.5449251', '77.271482', '208.78']
[565, '28.5449251', '77.271482', '208.79']
[566, '28.5449255', '77.2714855', '208.79']
[567, '28.5449255', '77.2714855', '208.8']
[568, '28.5449255', '77.2714855', '208.8']
[569, '28.5449255', '77.2714855', '208.8']
[570, '28.5449255', '77.2714855', '208.8']
[571, '28.5449261', '77.2714888', '208.81']
[572, '28.5449261', '77.2714888', '208.81']
[573, '28.5449261', '77.2714888', '208.81']
[574, '28.5449261', '77.2714888', '208.82']
[575, '28.5449261', '77.2714888', '208.83']
[576, '28.5449261', '77.2714888', '208.84']
[577, '28.5449266', '77.2714931', '208.85']
[578, '28.5449266', '77.2714931', '208.85']
[579, '28.5449266', '77.2714931', '208.86']
[580, '28.5449266', '77.2714931', '208.86']
[581, '28.5449266', '77.2714931', '208.87']
[582, '28.5449272', '77.2714982', '208.88']
[583, '28.5449272', '77.2714982', '208.88']
[584, '28.5449272', '77.2714982', '208.89']
[585, '28.5449272', '77.2714982', '208.9']
[586, '28.5449271', '77.2715034', '208.9']
[587, '28.5449271', '77.2715034', '208.91']
[588, '28.5449271', '77.2715034', '208.91']
[589, '28.5449271', '77.2715034', '208.92']
[590, '28.5449271', '77.2715034', '208.93']
[591, '28.5449273', '77.2715081', '208.93']
[592, '28.5449273', '77.2715081', '208.94']
[593, '28.5449273', '77.2715081', '208.94']
[594, '28.5449273', '77.2715081', '208.94']
[595, '28.5449273', '77.2715081', '208.94']
[596, '28.5449281', '77.2715125', '208.94']
[597, '28.5449281', '77.2715125', '208.95']
[598, '28.5449281', '77.2715125', '208.95']
[599, '28.5449281', '77.2715125', '208.96']
[600, '28.5449281', '77.2715125', '208.96']
[601, '28.5449289', '77.2715161', '208.97']
[602, '28.5449289', '77.2715161', '208.98']
[603, '28.5449289', '77.2715161', '208.98']
[604, '28.5449289', '77.2715161', '208.98']
[605, '28.5449289', '77.2715161', '208.99']
[606, '28.5449293', '77.271521', '208.99']
[607, '28.5449293', '77.271521', '209.0']
[608, '28.5449293', '77.271521', '209.0']
[609, '28.5449293', '77.271521', '209.01']
[610, '28.5449293', '77.271521', '209.01']
[611, '28.5449297', '77.2715261', '209.01']
[612, '28.5449297', '77.2715261', '209.02']
[613, '28.5449297', '77.2715261', '209.02']
[614, '28.5449297', '77.2715261', '209.03']
